id,brand,name,year,cpu_rank,cpu,ram,disk,is_rtx,gpu,gpu_memory,price,disk_detail,weight,weight_type,battery,battery_life,screen_size,has_camere,keyboard_haslight,keyboard,video_type,thin_type,business_type,game_type,is_apple,description,link,img_src,class
357,ThinkPad,ThinkPad ThinkBook 14s,2020,5,AMD Ryzen 5 4500U,8,512GB,0,No description,0,3699,SSD固态硬盘>,1.46Kg,medium,12小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,0,全尺寸键盘>,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1325/1324791/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/06/ChMlWl7UUeWIPBFRAAENxnnN4xkAAPqrwGHjscAAQ3e156.jpg,0
358,华硕,华硕Y406UA8250 8GB/256GB,2019,5,Intel 酷睿i5 8250U,8,256GB,0,Intel GMA HD（集成于处理器）>,0,0,SSD固态硬盘>,1.5Kg,medium,视具体使用环境而定长续航笔记本>,0,0,TRUE,1,巧克力键盘>，全尺寸背光键盘,1,1,0,0,0,"轻薄笔记本,影音娱乐本,校园学生本,",http://detail.zol.com.cn/1264/1263856/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/01/07/ChMlWVyYcxOIdfsxAACdmQ7gzcsAAI_3ANTYUcAAJ2x429.jpg,2
359,戴尔,戴尔G3 pro 15游戏本,2019,7,Intel 酷睿i7 9750H,16,1T,RTX2060,NVIDIA GeForce RTX 2060,6,0,SSD固态硬盘>,2.53Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,0,全尺寸防泼溅键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1296/1295631/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g4/M02/0D/0B/ChMly12eln6IerkRAAFIrjDXF3EAAYFSwO-Hw8AAUjG757.jpg,2
360,微软,微软Surface Book 3,2020,7,Intel 酷睿i7 1065G7,32,512GB,0,NVIDIA GeForce GTX 1660 Ti Max-Q,6,21488,SSD固态硬盘>,0,0,17.5小时左右，视具体使用环境而定长续航笔记本>,long,0,TRUE,1,全尺寸背光键盘,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1328/1327832/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g3/M01/0E/0A/ChMlV17oJ6KIP_SrAADz3VBA4AEAAUz5AAg-ecAAPP1811.jpg,3
361,Acer,Acer EX215-31-C84E,2019,0,Intel 赛扬 N4100,4,1T,0,No description,0,0,5400转>,1.9Kg,heavy,5-8小时，视具体使用环境而定长续航笔记本>,short,15.6,TRUE,0,全尺寸键盘>,0,1,0,0,0,"轻薄笔记本,校园学生本,",http://detail.zol.com.cn/1297/1296482/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g1/M0B/00/0B/ChMljV2lbB2IJ1wUAAE9R8J_ciYAAP-gwDrPIYAAT1f238.jpg,2
362,神舟战神,神舟战神GX9-CT5DK,2019,5,Intel 酷睿i5 9400,16,256GB+1T,RTX2070,NVIDIA GeForce RTX 2070,8,8899,混合硬盘（SSD+HDD）>,0,0,2-3小时，视具体使用环境而定长续航笔记本>,short,17.3,TRUE,1,背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1269/1268097/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/09/01/ChMlWly1fXKIFFi-AAFfXU4PslMAAJeUgDz5LUAAV91052.jpg,4
363,机械师,机械师T90 Plus,2019,7,Intel 酷睿i7 8750H,8,128GB+1T,0,NVIDIA GeForce GTX 1050 Ti,4,6689,混合硬盘（SSD+HDD）>,2.5Kg,heavy,视具体使用环境而定长续航笔记本>,0,17.3,TRUE,0,约1677万色 全尺寸RGB机械键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1251/1250472/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/01/06/ChMkJ1w3CZGIA4hfAAH19qKNfRwAAuTtgDUh1QAAfYO712.jpg,0
364,msi微星,msi微星冲锋坦克2 GL65,2020,7,Intel 酷睿i7 10750H,16,512GB,0,NVIDIA Geforce GTX 1660 Ti,6,7999,SSD固态硬盘>,2.3Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,红色背光键盘,1,0,0,1,0,"游戏本,影音娱乐本,",http://detail.zol.com.cn/1320/1319592/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/0F/ChMlWl6ZKu6IUf4jAAERtiXYLroAAOZKwMFyaoAARHO355.jpg,4
365,神舟战神,神舟战神GX8-CT5DH,2019,5,Intel 酷睿i5 9400,8,256GB+1T,RTX2060,NVIDIA GeForce RTX 2060,6,6499,混合硬盘（SSD+HDD）>,3.5Kg,heavy,2-3小时，视具体使用环境而定长续航笔记本>,short,17.3,TRUE,1,背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1266/1265954/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/01/ChMlWlylVeaIC0bGAAFcfHQikkQAAJOLgCEGfYAAVyU977.jpg,0
366,ROG,ROG 冰刃3s i7,2019,7,Intel 酷睿i7 8750H,16,1T,RTX2070,NVIDIA GeForce RTX 2070 Max-Q,8,0,SSD固态硬盘>,2.1Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,全键RGB全尺寸背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1251/1250036/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/05/05/ChMkJlxJV-aIT8oDAADk28eWgnEAAujbwHhwCoAAOTz007.jpg,2
