,id,name,cpu,cpu_rank,ram,disk,gpu,is_rtx,gpu_memory,price,disk_detail,weight,battery,weight_type,screen_size,battery_life,has_camere,keyboard,keyboard_haslight,description,video_type,thin_type,business_type,game_type,is_apple,link,img_src
72,72,神舟战神Z9-CU,Intel 酷睿i7 10750H,i7,16,256GB+1T,NVIDIA Geforce RTX 2070,RTX2070,8,8888,混合硬盘（SSD+HDD）>,2.5Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1319/1318052/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/03/ChMlWl6Ni4yITspAAAFbQj3n2IEAAOKNwJGpngAAVta903.jpg
73,73,华硕天选FA506,AMD Ryzen 7 4800H,0,8,512GB,NVIDIA GeForce RTX 2060,RTX2060,6,7199,SSD固态硬盘>,2.5Kg,2-5小时左右，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,巧克力键盘>,0,"游戏本,影音娱乐本,",1,0,0,1,0,http://detail.zol.com.cn/1316/1315099/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0E/04/ChMlWl5wSOmIMXhrAAE9egS_DV0AANuUwPC0hUAAT2S226.jpg
74,74,ThinkPad T490,Intel 酷睿i5 8265U,i5,8,256GB,NVIDIA Geforce MX250,0,2,10699,SSD固态硬盘>,1.46Kg,视具体使用环境而定长续航笔记本>,medium,0,0,True,背光键盘,1,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1259/1258214/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/06/ChMlWlxzz2GICspXAACxvxzYQqAAAIbhQJPteEAALHX508.jpg
75,75,小米笔记本 Pro,Intel 酷睿i7 8550U,i7,16,256GB,NVIDIA GeForce MX250,0,2,0,PCIe固态硬盘,1.95Kg,9小时左右，视具体使用环境而定长续航笔记本>,heavy,15.6,long,True,背光键盘，全尺寸键盘>,1,"轻薄笔记本,校园学生本,商务办公本,",0,1,1,0,0,http://detail.zol.com.cn/1183/1182266/param.shtml,https://2f.zol-img.com.cn/product/186_280x210/807/ceAvRvkHkVlqE.jpg
76,76,惠普星 14 酷睿10代,Intel 酷睿i5 1035G1,i5,8,512GB,NVIDIA Geforce MX250,0,2,5299,SSD固态硬盘>,1.59Kg,10小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,背光键盘,1,"轻薄笔记本,影音娱乐本,",1,1,0,0,0,http://detail.zol.com.cn/1300/1299697/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/08/00/ChMkJ13DvEOIKpJlAAD4o1_rv9oAAvFkAIxEzcAAPi7553.jpg
77,77,联想Flex2 14,Intel 酷睿i5 4210U,i5,4,500GB,NVIDIA GeForce 820M,0,2,0,0,1.89Kg,6小时左右，视具体使用环境而定长续航笔记本>,heavy,0,long,True,巧克力键盘>,0,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/378/377475/param.shtml,https://2a.zol-img.com.cn/product/134_280x210/522/cetfJpuPdNEJw.jpg
78,78,联想Flex2 14,Intel 酷睿i5 4210U,i5,4,500GB,NVIDIA GeForce 820M,0,2,0,0,1.89Kg,6小时左右，视具体使用环境而定长续航笔记本>,heavy,0,long,True,巧克力键盘>,0,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/378/377475/param.shtml,https://2a.zol-img.com.cn/product/134_280x210/522/cetfJpuPdNEJw.jpg
79,79,联想小新Air 15,Intel 酷睿i5 8250U,i5,8,256GB,NVIDIA Geforce MX150,0,2,5599,SSD固态硬盘>,1.95Kg,8小时左右，视具体使用环境而定长续航笔记本>,heavy,15.6,long,True,人体工程学键盘>，背光键盘,1,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1212/1211029/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
80,80,ROG 幻15,Intel 酷睿i7 9750H,i7,16,512GB,NVIDIA GeForce GTX1660Ti,0,6,0,SSD固态硬盘>，预留M.2接口,1.9Kg,8小时，视具体使用环境而定长续航笔记本>,heavy,15.6,long,False,全尺寸RGB背光键盘，AURA Sync神光同步,1,"游戏本,影音娱乐本,",1,0,0,1,0,http://detail.zol.com.cn/1285/1284807/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/01/0D/ChMlWV02uKiIKUAjAAExlSn_4bkAAMAyAH1dVcAATGt288.jpg
81,81,惠普OMEN 15-AX000,Intel 酷睿i5 6300HQ,i5,4,128GB+1T,NVIDIA GeForce GTX 960M,0,2,0,混合硬盘（M.2 SSD+7200转HDD）,2Kg,5小时左右，视具体使用环境而定长续航笔记本>,0,15.6,short,True,分岛式键盘>，红色背光键盘,1,"游戏本,影音娱乐本,",1,0,0,1,0,http://detail.zol.com.cn/1146/1145403/param.shtml,https://2e.zol-img.com.cn/product/176_280x210/90/cez2R2lcniqC6.jpg
82,82,戴尔Inspiron 灵越 燃7000 II（7472）,Intel 酷睿i5 8250U,i5,8,128GB+1T,NVIDIA Geforce MX150,0,2,0,混合硬盘（SSD+5400转HDD）>,1.649Kg,10小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,背光键盘,1,"轻薄笔记本,影音娱乐本,",1,1,0,0,0,http://detail.zol.com.cn/1184/1183648/param.shtml,https://2c.zol-img.com.cn/product/186_280x210/950/ceK4I1lZayr5k.jpg
83,83,神舟战神TX9-CU,Intel 酷睿i5 10400,i5,16,256GB+1T,NVIDIA GeForce RTX 2070,RTX2070,8,8288,混合硬盘（SSD+HDD）>,2.7Kg,视具体使用环境而定长续航笔记本>,heavy,16.1,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1323/1322653/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/03/ChMlWV65K4GIUSVkAAEtlkgCWukAAPB9AK8bT0AAS2u389.jpg
84,84,神舟战神TX9-CU,Intel 酷睿i5 10400,i5,16,256GB+1T,NVIDIA GeForce RTX 2070,RTX2070,8,8288,混合硬盘（SSD+HDD）>,2.7Kg,视具体使用环境而定长续航笔记本>,heavy,16.1,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1323/1322653/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/03/ChMlWV65K4GIUSVkAAEtlkgCWukAAPB9AK8bT0AAS2u389.jpg
85,85,神舟战神TX9-CU,Intel 酷睿i5 10400,i5,16,256GB+1T,NVIDIA GeForce RTX 2070,RTX2070,8,8288,混合硬盘（SSD+HDD）>,2.7Kg,视具体使用环境而定长续航笔记本>,heavy,16.1,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1323/1322653/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/03/ChMlWV65K4GIUSVkAAEtlkgCWukAAPB9AK8bT0AAS2u389.jpg
86,86,huawei matebook x2020,Intel 酷睿i7 10510U,i7,16,512GB,No description,0,0,9899,SSD固态硬盘>,1000g,视具体使用环境而定长续航笔记本>,light,0,0,True,巧克力键盘>，孤岛式键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1334/1333155/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/03/01/ChMkKV883OyIZqRGAACyt2lrOAkAABMRwJHO10AALLP443.jpg
87,87,Acer 新蜂鸟 Swift3,Intel 酷睿i5 1035G4,i5,8,512GB,No description,0,0,4299,SSD固态硬盘>,1.19Kg,16小时左右，视具体使用环境而定长续航笔记本>,light,13.5,long,True,背光键盘,1,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1312/1311818/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/0E/ChMlWl5N7yqIcqbVAAGfx7j-kzwAANZIAIhgGMAAZ_f136.jpg
88,88,惠普暗影精灵6 AMD,AMD Ryzen 5 4600H,0,16,512GB,NVIDIA GeForce GTX 1650 Ti,0,4,5899,SSD固态硬盘>,2.36Kg,2-5小时，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,26键无冲背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1332/1331210/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/00/06/ChMkJl8HOlOIUzQvAADrf3tvntkAAwyCwC94WEAAOuX534.jpg
89,89,HUAWEI MateBook 13 2020,Intel 酷睿i7 10510U,i7,16,512GB,NVIDIA Geforce MX250,0,2,6988,NVMe PCIe高速固态硬盘,1.32Kg,11.6小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,背光键盘，全尺寸键盘>,1,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1311/1310241/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/0D/ChMlWl445meIbRJwAADJAuW4wjkAANM8wM2O70AAMka711.jpg
90,90,苹果MacBook Pro 15英寸 2018,Intel 酷睿i7 8750H,i7,16,256GB,AMD Radeon Pro 555X＋Intel GMA UHD 630,0,4,17488,SSD固态硬盘>,1.83Kg,"10小时的无线网络浏览
10小时的iTunes影片播放
30天的待机时间长续航笔记本>",heavy,15.4,long,True,全尺寸背光键盘,1,"轻薄笔记本,商务办公本,",0,1,1,0,1,http://detail.zol.com.cn/1224/1223628/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
91,91,联想YOGA Book,0,0,0,No description,No description,0,0,0,0,690g,15小时左右，视具体使用环境而定,light,0,long,True,全尺寸键盘,0,0,0,0,0,0,0,http://detail.zol.com.cn/1156/1155779/param.shtml,https://2f.zol-img.com.cn/product/176_40x30/377/ceoBzjm3AcOzI.jpg
92,92,荣耀MagicBook Pro,Intel 酷睿i5 8265U,i5,8,512GB,NVIDIA Geforce MX250,0,2,5699,SSD固态硬盘>,1.7Kg,12小时左右，视具体使用环境而定长续航笔记本>,medium,16.1,long,True,背光键盘，全尺寸键盘>，孤岛式巧克力键盘,1,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1285/1284888/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/0A/07/ChMkJl4W-VyIFRHrAAEGUuFDsEwAAwO_wMO5_gAAQZq965.jpg
93,93,荣耀MagicBook,Intel 酷睿i7 8550U,i7,8,256GB,NVIDIA Geforce MX150,0,2,0,SSD固态硬盘>,1.47Kg,12小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,背光键盘，防泼溅键盘，孤岛式巧克力键盘，全尺寸键盘>,1,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1213/1212030/param.shtml,https://2e.zol-img.com.cn/product/190_280x210/814/cem11DtMVud12.jpg
94,94,ThinkPad T14,Intel 酷睿i7 10510U,i7,8,512GB,NVIDIA GeForce MX330,0,2,9989,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,0,0,False,背光键盘,1,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1314/1313461/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/02/ChMlWV7Gab2IILmwAAEOtwsiUxoAAPVoQG6JU8AAQ7P858.jpg
95,95,神舟战神Z8-CU,Intel 酷睿i5 10300H,i5,8,512GB,NVIDIA Geforce RTX 2060,RTX2060,6,0,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,15.6,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1319/1318022/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/01/ChMlWl6NP2CIbeg4AAFR5tTWte0AAOJrgMfhnYAAVH-351.jpg
96,96,神舟战神Z8-CU,Intel 酷睿i5 10300H,i5,8,512GB,NVIDIA Geforce RTX 2060,RTX2060,6,0,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,15.6,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1319/1318022/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/01/ChMlWl6NP2CIbeg4AAFR5tTWte0AAOJrgMfhnYAAVH-351.jpg
97,97,Acer 宏碁蜂鸟Fun,Intel 酷睿i5 10210U,i5,8,512GB,NVIDIA Geforce MX250,0,2,3899,SSD固态硬盘>,1.5Kg,14小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,NO SPECIAL,0,"轻薄笔记本,校园学生本,",0,1,0,0,0,http://detail.zol.com.cn/1293/1292307/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g4/M04/06/08/ChMly114qq-IZwyVAAEH5gDhz8wAAXoYQIU910AAQf-004.jpg
98,98,机械革命Z3 Air-S,Intel 酷睿i7 10750H,i7,8,512GB,NVIDIA GeForce RTX 2060,RTX2060,6,6999,SSD固态硬盘>,1.96Kg,2-5小时，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,全尺寸键盘>，RGB背光键盘,1,"游戏本,影音娱乐本,",1,0,0,1,0,http://detail.zol.com.cn/1320/1319988/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0A/08/ChMlWV6eX1yIMZWkAAGWnU5_AnQAAOfWgBE1g0AAZa1487.jpg
99,99,Acer 暗影骑士 擎,Intel 酷睿i5 10300H,i5,16,512GB,NVIDIA GeForce GTX 1650 Ti,0,4,5789,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,15.6,0,True,背光键盘,1,"游戏本,影音娱乐本,IPS硬屏笔记本,",1,0,0,1,0,http://detail.zol.com.cn/1318/1317913/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/04/0C/ChMlWl6MKaGIGiS4AAGgNKPlGKQAAOISAJMOHAAAaBM412.jpg
100,100,LG gram 17 2020,Intel 酷睿i5 1035G7,i5,8,512GB,No description,0,0,9399,SSD固态硬盘>,1.35Kg,19.5小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,全尺寸背光键盘,1,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1314/1313532/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0B/0B/ChMlWV5gkLOIdKWAAADhKlIa6tQAANkGQNDrLwAAOFC540.jpg
101,101,神舟战神Z7-CT,Intel 酷睿i5 9300H,i5,8,512GB,NVIDIA GeForce GTX 1660Ti,0,6,5099,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,15.6,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1268/1267975/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/09/00/ChMlWVy1QtmIXxxpAAFAN2_Zt2UAAJeEQM0bHgAAUBP612.jpg
102,102,惠普暗影精灵6 Plus,Intel 酷睿i7 10750H,i7,16,512GB,NVIDIA GeForce RTX 2070,RTX2070,8,12299,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,17.3,0,True,2区RGB背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1323/1322294/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/02/01/ChMlWV62B5mIDs1yAAE06nJ3uesAAO9awIYkH0AATUC469.jpg
103,103,惠普暗影精灵6 Plus,Intel 酷睿i7 10750H,i7,16,512GB,NVIDIA GeForce RTX 2070,RTX2070,8,12299,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,17.3,0,True,2区RGB背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1323/1322294/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/02/01/ChMlWV62B5mIDs1yAAE06nJ3uesAAO9awIYkH0AATUC469.jpg
104,104,惠普暗影精灵6 Plus,Intel 酷睿i7 10750H,i7,16,512GB,NVIDIA GeForce RTX 2070,RTX2070,8,12299,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,17.3,0,True,2区RGB背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1323/1322294/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/02/01/ChMlWV62B5mIDs1yAAE06nJ3uesAAO9awIYkH0AATUC469.jpg
105,105,微软Surface Go,Intel 奔腾双核 4415Y,0,8,128GB,Intel GMA HD 615,0,0,3478,SSD固态硬盘>,522g,9小时左右，视具体使用环境而定长续航笔记本>,light,0,long,True,可拆卸键盘>,0,"商务办公本,校园学生本,轻薄笔记本,",0,1,1,0,0,http://detail.zol.com.cn/1223/1222354/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
106,106,微软Surface Go,Intel 奔腾双核 4415Y,0,8,128GB,Intel GMA HD 615,0,0,3478,SSD固态硬盘>,522g,9小时左右，视具体使用环境而定长续航笔记本>,light,0,long,True,可拆卸键盘>,0,"商务办公本,校园学生本,轻薄笔记本,",0,1,1,0,0,http://detail.zol.com.cn/1223/1222354/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
107,107,微软Surface Go,Intel 奔腾双核 4415Y,0,8,128GB,Intel GMA HD 615,0,0,3478,SSD固态硬盘>,522g,9小时左右，视具体使用环境而定长续航笔记本>,light,0,long,True,可拆卸键盘>,0,"商务办公本,校园学生本,轻薄笔记本,",0,1,1,0,0,http://detail.zol.com.cn/1223/1222354/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
108,108,联想扬天B50,Intel 赛扬双核 N2830,0,2,500GB,Intel GMA HD>,0,0,0,5400转>,0,视具体使用环境而定长续航笔记本>,0,15.6,0,True,联想高触感巧克力键盘,0,"影音娱乐本,",1,0,0,0,0,http://detail.zol.com.cn/387/386859/param.shtml,https://2c.zol-img.com.cn/product/139_280x210/460/ceEGcx5dqGMk.jpg
109,109,小米笔记本 15.6,Intel 酷睿i5 8250U,i5,4,128GB+1T,NVIDIA GeForce MX110,0,2,0,混合硬盘（SSD+HDD）>,2.18Kg,2-3小时，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,全尺寸键盘（包含独立数字键盘）,0,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1230/1229124/param.shtml,https://2c.zol-img.com.cn/product/192_280x210/304/ceE3H8sHx4hc.jpg
110,110,Alienware M17 2020版,Intel 酷睿i7 10750H,i7,16,512GB,NVIDIA GeForce GTX 1660 Ti,0,6,14988,SSD固态硬盘>,2.97Kg,视具体使用环境而定长续航笔记本>,heavy,17.3,0,False,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1324/1323500/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/07/ChMlWV6_RHGIJStRAACTGHLN_cMAAPLHQCdEN0AAJMw543.jpg
111,111,ThinkPad T470,Intel 酷睿i5 7200U,i5,8,128GB+500G,NVIDIA GeForce 940MX,0,2,12999,混合硬盘（SSD+7200转HDD）>,1.65Kg,视具体使用环境而定长续航笔记本>,medium,0,0,True,全尺寸键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1164/1163147/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
112,112,雷神911 Air星战3代,Intel 酷睿i7-10750H,i7,16,512GB,NVIDIA GeForce GTX1650,0,4,6299,SSD固态硬盘>,2Kg,视具体使用环境而定长续航笔记本>,0,15.6,0,True,孤岛式键盘>,0,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1318/1317614/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/03/ChMlWV6GogOIX5BCAADAqZkKl6wAAOCEQGeMDEAAMDB678.jpg
113,113,微软Surface Pro 4,0,0,0,No description,No description,0,0,0,0,766g,9小时左右，视具体使用环境而定,light,0,long,True,NO SPECIAL,0,0,0,0,0,0,0,http://detail.zol.com.cn/1103/1102695/param.shtml,https://2e.zol-img.com.cn/product/178_40x30/260/ceUXlOrrexKRQ.jpg
