,id,name,cpu,cpu_rank,ram,disk,gpu,is_rtx,gpu_memory,price,disk_detail,weight,battery,weight_type,screen_size,battery_life,has_camere,keyboard,keyboard_haslight,description,video_type,thin_type,business_type,game_type,is_apple,link,img_src
132,132,神舟战神Z7M-CT,Intel 酷睿i5 9300H,i5,8,512GB,NVIDIA GeForce GTX 1650,0,4,5199,SSD固态硬盘>,0,视具体使用环境而定长续航笔记本>,0,15.6,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1268/1267965/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/09/00/ChMlWVy1P1aIBu_IAAFCzstedo4AAJeDgBLrMAAAULm677.jpg
133,133,Redmi Book 14增强版,Intel 酷睿i7 10510U,i7,8,512GB,NVIDIA GeForce MX250,0,2,4699,SSD固态硬盘>,1.5Kg,本地视频播放10小时，在线视频播放7小时，网页浏览11小时长续航笔记本>,medium,0,long,False,全尺寸键盘>,0,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1291/1290525/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0F/0C/ChMlWV1oc-iIIA1BAAF421lrLNAAAM4YwGZ2fsAAXjz298.jpg
134,134,RedmiBook 14,Intel 酷睿i5 8265U,i5,8,256GB,NVIDIA GeForce MX250,0,2,0,SSD固态硬盘>,1.5Kg,本地视频播放10小时，在线视频播放7小时，网页浏览11小时长续航笔记本>,medium,0,long,False,全尺寸键盘>,0,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1277/1276974/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/0A/ChMlWlzs7zSIWwl2AAD3Zkwp61cAAKQSgFMlL0AAPd-094.jpg
135,135,惠普光影精灵6 Max,Intel 酷睿i5 10300H,i5,8,512GB,NVIDIA GeForce GTX 1650,0,4,5499,SSD固态硬盘>,2.25Kg,2-3小时，视具体使用环境而定长续航笔记本>,heavy,16.1,short,True,背光键盘（白色背光）,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1335/1334072/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/06/0D/ChMkKV8ncM-IWyk5AADdVRPDMm0AAAbXgAORBcAAN1t119.jpg
136,136,戴尔XPS 13 9300,Intel 酷睿i7 1065G7,i7,8,512GB,Intel Iris Plus Gen11,0,0,14999,SSD固态硬盘>,1.27Kg,12小时左右，视具体使用环境而定长续航笔记本>,medium,13.4,long,False,背光键盘,1,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1308/1307469/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/06/07/ChMlWl49CceIONJuAAHCuASsRuoAANPSgHDubAAAcLQ340.jpg
137,137,戴尔G5 15游戏本（5500）,Intel 酷睿i5 10300H,i5,8,512GB,NVIDIA GeForce GTX 1650 Ti,0,4,5499,SSD固态硬盘>,2.48Kg,2-3小时，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,全尺寸防泼溅键盘,0,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1323/1322781/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/03/0A/ChMlWl66YzqIMQfwAAF072KcI1YAAPDqQMVOz0AAXUH143.jpg
138,138,联想拯救者Y9000K,Intel 酷睿i7 8750H,i7,16,512GB+2T,NVIDIA GeForce RTX 2060,RTX2060,6,13499,混合硬盘（SSD+HDD）>,2.9Kg,视具体使用环境而定长续航笔记本>,heavy,17.3,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1251/1250435/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/01/06/ChMkJlw2_dqIStG9AADia7N_9XUAAuTowO_Q0sAAOKD491.jpg
139,139,联想拯救者 Y7000 2019,Intel 酷睿i7 9750H,i7,8,1T,NVIDIA GeForce GTX 1660Ti,0,6,0,SSD固态硬盘>,2.3Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,全尺寸红色背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1268/1267890/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0B/05/ChMlWly_4HGIFNzAAAHpk9CM4rcAAJnKQBww8UAAemr511.jpg
140,140,苹果Macbook Pro 13.3 2019,0,0,8,128GB,RP645,0,0,8499,SSD固态硬盘>,1.37Kg,"10小时的无线网络浏览
10小时的iTunes影片播放
30天的待机时间长续航笔记本>",medium,13.3,long,True,全尺寸背光键盘,1,"轻薄笔记本,商务办公本,",0,1,1,0,1,http://detail.zol.com.cn/1287/1286125/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/0D/ChMlWV1BaiWIQZh4AAFOrNAgo6wAAMQowP0_P8AAU7E081.jpg
141,141,惠普暗影精灵4 Pro,Intel 酷睿i7 8750H,i7,16,512GB+1TB,NVIDIA GeForce RTX 2070 Max-Q,RTX2070,8,0,混合硬盘（SSD+HDD）>,0,视具体使用环境而定长续航笔记本>,0,15.6,0,True,4区RGB背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1250/1249820/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/05/04/ChMkJlxJMkaIReVWAADPX-0JclcAAujRwK7V48AAM93202.jpg
142,142,联想Y700-17,Intel 酷睿i7 6700HQ,i7,8,1T,NVIDIA GeForce GTX 960M,0,2,0,5400转>,3.5Kg,2-5小时，视具体使用环境而定长续航笔记本>,heavy,17.3,short,True,全尺寸键盘>，背光键盘,1,"游戏本,影音娱乐本,IPS硬屏笔记本,",1,0,0,1,0,http://detail.zol.com.cn/1138/1137821/param.shtml,https://2f.zol-img.com.cn/product/171_280x210/377/ceIIiiB4ssVU.jpg
143,143,Alienware 17（R5）,Intel 酷睿i7 8750H,i7,16,256GB+1T,NVIDIA GeForce GTX 1070 OC,0,8,22499,混合硬盘（PCIe SSD+7200转HDD）,4.42Kg,视具体使用环境而定长续航笔记本>,heavy,17.3,0,True,背光键盘，4区多色RGB键盘，带AlienFX照明控件和数字小键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1211/1210636/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/zplus16.png
144,144,联想拯救者14-ISK,Intel 酷睿i5 6300HQ,i5,4,1T,NVIDIA GeForce GTX 960M,0,2,0,5400转>,2.2Kg,4小时左右，视具体使用环境而定长续航笔记本>,heavy,0,short,True,巧克力键盘>,0,"游戏本,影音娱乐本,IPS硬屏笔记本,",1,0,0,1,0,http://detail.zol.com.cn/1117/1116182/param.shtml,https://2f.zol-img.com.cn/product/176_280x210/661/ceOhd3dPtbKMM.jpg
145,145,联想LEGION Y9000X,Intel 酷睿i7 9750H,i7,16,1T,No description,0,0,8999,SSD固态硬盘>,1.7Kg,视具体使用环境而定长续航笔记本>,medium,15.6,0,True,全尺寸键盘（包含独立数字键盘） >，背光键盘,1,"轻薄笔记本,创意设计PC,",0,1,0,0,0,http://detail.zol.com.cn/1292/1291965/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g1/M0A/00/01/ChMljV2gNVaIOA_sAAGHx9aJ-icAAP77gBo96kAAYff367.jpg
146,146,ThinkPad X280,Intel 酷睿i5 8250U,i5,8,256GB,Intel GMA UHD 620,0,0,7999,SSD固态硬盘>,1.3Kg,5-8小时，视具体使用环境而定长续航笔记本>,medium,12.5,short,True,全尺寸键盘>,0,"商务办公本,轻薄笔记本,",0,1,1,0,0,http://detail.zol.com.cn/1206/1205861/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
147,147,ThinkPad E15,Intel 酷睿i5 10210U,i5,8,512GB,AMD Radeon RX 640,0,2,5799,SSD固态硬盘>,1.9Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,全尺寸键盘（包含独立数字键盘），防渗漏键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1303/1302950/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0E/0A/ChMlWl6qooSIe0xwAAFjgz7qdJgAAOvvAGvAskAAWOb967.jpg
148,148,神舟战神K670D,Intel 奔腾双核 G4560,0,8,1T,NVIDIA GeForce GTX 1050＋Intel GMA HD 610,0,4,2999,HDD,2.5Kg,2-3小时，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,孤岛式键盘>,0,"游戏本,影音娱乐本,",1,0,0,1,0,http://detail.zol.com.cn/1166/1165602/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
149,149,HUAWEI MateBook D,Intel 酷睿i5 8250U,i5,8,256GB,NVIDIA Geforce MX150,0,2,0,SSD固态硬盘>,1.9Kg,8.5小时左右，视具体使用环境而定长续航笔记本>,heavy,15.6,long,True,全尺寸键盘>,0,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1206/1205571/param.shtml,https://2c.zol-img.com.cn/product/188_280x210/454/ceqyAR0mVnnJA.jpg
150,150,联想天逸310-15,Intel 酷睿i5 6200U,i5,8,256GB,AMD Radeon R5 M430,0,2,4331,SSD固态硬盘>,2.32Kg,4小时左右，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,巧克力键盘>,0,"影音娱乐本,校园学生本,",1,0,0,0,0,http://detail.zol.com.cn/1156/1155424/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/zplus16.png
151,151,苹果MacBook Air 13寸,0,0,8,128GB,Intel GMA UHD 617,0,0,9999,PCIe固态硬盘,1.25Kg,"12小时，无线网络浏览
13小时，iTunes影片播放
30天待机时间长续航笔记本>",medium,13.3,long,True,全尺寸键盘>,0,"轻薄笔记本,商务办公本,",0,1,1,0,1,http://detail.zol.com.cn/1209/1208784/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
152,152,联想拯救者Y9000K 2020,Intel 酷睿i7 10875H,i7,16,1T,NVIDIA GeForce RTX 2070 Max-Q,RTX2070,8,13999,SSD固态硬盘>,2.25Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1327/1326063/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/0C/ChMlWV7WJXqIf7FhAADxjwz-Mp0AAPsRwJYROQAAPGn099.jpg
153,153,联想Ideapad 330C,Intel 酷睿i7 8550U,i7,4,128GB+1T,NVIDIA Geforce MX110,0,2,0,混合硬盘（SSD+HDD）>,2.1Kg,2-5小时，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,全尺寸键盘>,0,"校园学生本,商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1219/1218386/param.shtml,https://2b.zol-img.com.cn/product/194_280x210/935/cePhGvZCxliT.jpg
154,154,联想扬天V330-14,Intel 酷睿i5 8250U,i5,4,1T,AMD Radeon 530,0,2,0,HDD,1.55Kg,2-5小时，视具体使用环境而定长续航笔记本>,medium,0,short,True,防渗漏键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1203/1202428/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
155,155,机械革命深海幽灵Z2 Air,Intel 酷睿i7 8750H,i7,8,512GB,NVIDIA GeForce GTX 1050 Ti,0,4,5999,SSD固态硬盘>,1.8Kg,2-5小时，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,RGB背光键盘,1,"游戏本,影音娱乐本,",1,0,0,1,0,http://detail.zol.com.cn/1232/1231059/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/01/00/ChMkJluWGyKIG9XcAADkRUX6ZvgAArk_wEBGckAAORd241.jpg
156,156,联想扬天V310-15ISK,Intel 酷睿i7 6500U,i7,4,500GB,AMD Radeon R5 M430,0,2,4735,5400转>,0,2-3小时，视具体使用环境而定长续航笔记本>,0,15.6,short,True,巧克力键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1146/1145666/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/zplus16.png
157,157,HUAWEI MateBook D 14,AMD Ryzen 5 3500U,0,8,512GB,Radeon Vega 8 Graphics,0,0,4599,SSD固态硬盘>,1.38Kg,9.5小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,背光键盘，全尺寸键盘>，巧克力键盘>，孤岛式键盘>,1,"轻薄笔记本,商务办公本,",0,1,1,0,0,http://detail.zol.com.cn/1302/1301765/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/0D/06/ChMkJ13ce2qIBDZdAADxwJz-72kAAva4AD2RI8AAPHY537.jpg
158,158,HUAWEI MateBook 13 2020 锐龙,AMD Ryzen 5 4600H,0,16,512GB,AMD Radeon Graphics,0,0,4499,SSD固态硬盘>,1.3Kg,8小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,全尺寸键盘>，背光键盘（3档）,1,"商务办公本,轻薄笔记本,",0,1,1,0,0,http://detail.zol.com.cn/1336/1335647/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/03/01/ChMkKV883luIHn6SAACwgEP3RFcAABMSQDQpMYAALCY045.jpg
159,159,msi微星绝影2GS66,Intel 酷睿i7 10750H,i7,16,1T,NVIDIA GeForce RTX 2070 Max-Q,RTX2070,8,14999,SSD固态硬盘>,2.1Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,背光键盘,1,"轻薄笔记本,游戏本,",0,1,0,1,0,http://detail.zol.com.cn/1309/1308423/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/08/07/ChMlWl6XwNOIKqDyAADNagX4rUsAAOXBwJY2AEAAM2C748.jpg
160,160,惠普战66 Pro 15 G3,Intel 酷睿i5 10210U,i5,8,512GB,NVIDIA Geforce MX250,0,2,4599,SSD固态硬盘>,2Kg,8小时左右，视具体使用环境而定长续航笔记本>,0,15.6,long,True,防泼溅键盘，背光键盘,1,"商务办公本,轻薄笔记本,",0,1,1,0,0,http://detail.zol.com.cn/1310/1309082/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g5/M00/0B/0E/ChMkJ14cP6KIQc1BAAE4n9En-wUAAwUxwLPPOEAATi3118.jpg
161,161,戴尔Inspiron灵越7000(7590),Intel 酷睿i7 9750H,i7,16,512GB,NVIDIA GeForce GTX 1650,0,4,10199,M.2 PCIe NVMe 固态硬盘,1.59Kg,视具体使用环境而定长续航笔记本>,medium,15.6,0,True,带10键数字小键盘的防泼溅背光键盘,1,"影音娱乐本,创意设计PC,",1,0,0,0,0,http://detail.zol.com.cn/1274/1273144/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0F/0E/ChMlWVzU9S-IL8S5AADK8ZBUfZ0AAJ5fgC0o7gAAMsJ775.jpg
162,162,联想G50-30,Intel 赛扬双核 N2840,0,4,500GB,NVIDIA GeForce 820M,0,1,0,0,2.5Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,联想高触感巧克力键盘,0,"影音娱乐本,",1,0,0,0,0,http://detail.zol.com.cn/390/389865/param.shtml,https://2c.zol-img.com.cn/product/141_280x210/586/ce0UZdd6tFAwU.jpg
163,163,联想小新 15,Intel 酷睿i5 8265U,i5,8,1TB+256G,NVIDIA Geforce MX250,0,2,5999,混合硬盘（SSD+HDD）>,0,7小时左右，视具体使用环境而定长续航笔记本>,0,15.6,long,True,全尺寸键盘>,0,"轻薄笔记本,",0,1,0,0,0,http://detail.zol.com.cn/1289/1288354/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0A/08/ChMlWV1TqT2IAXIIAAFP5Be7b0kAAMjVwNTXKwAAU_8726.jpg
164,164,联想YOGA C740,Intel 酷睿i5 10210U,i5,16,512GB,No description,0,0,5799,SSD固态硬盘>,1.38Kg,8小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,背光键盘,1,"￥5799,",0,0,0,0,0,http://detail.zol.com.cn/1293/1292535/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g4/M06/06/0B/ChMly116B-aIWBrpAAFEstGfWmAAAXpOwCvSPUAAUTK926.jpg
165,165,小米笔记本 Pro 增强版,Intel 酷睿i7 10510U,i7,16,1T,NVIDIA GeForce MX250,0,2,6699,SSD固态硬盘>,2Kg,9小时左右，视具体使用环境而定长续航笔记本>,0,15.6,long,True,背光键盘，全尺寸键盘>,1,"轻薄笔记本,校园学生本,商务办公本,",0,1,1,0,0,http://detail.zol.com.cn/1298/1297326/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g4/M05/0F/0D/ChMly12uXMaIRmaNAACGtW0D2zgAAYNmgH4bE0AAIbN247.jpg
166,166,戴尔G5 15游戏本（5587）,Intel 酷睿i7 8750H,i7,8,128GB+1T,NVIDIA GeForce GTX 1050 Ti,0,4,8099,混合硬盘（SSD+5400转HDD）>,2.61Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,全尺寸防泼溅键盘,0,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1213/1212907/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
167,167,ROG 魔霸4,Intel 酷睿i7 10875H,i7,16,512GB,NVIDIA GeForce RTX 2060,RTX2060,6,10969,SSD固态硬盘>,2.4Kg,2-5小时，视具体使用环境而定长续航笔记本>,heavy,15.6,short,False,巧克力背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1326/1325822/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/09/ChMlWl7UqvWITqmNAAFjTmEFSIwAAPrigGADW0AAWNm193.jpg
168,168,联想天逸100-15,Intel 酷睿i5 5200U,i5,4,500GB,NVIDIA GeForce 920M,0,1,0,5400转>,2.3Kg,4小时左右，视具体使用环境而定长续航笔记本>,heavy,15.6,short,True,巧克力键盘>,0,"影音娱乐本,校园学生本,",1,0,0,0,0,http://detail.zol.com.cn/1102/1101987/param.shtml,https://2c.zol-img.com.cn/product/166_280x210/286/ceINpE7WEvgoY.jpg
169,169,戴尔Vostro 成就 15 5000（5568）,Intel 酷睿i7 7500U,i7,8,256GB,NVIDIA GeForce 940MX,0,4,0,SSD固态硬盘>,1.98Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,US国际Qwerty键盘，背光键盘,1,"轻薄笔记本,商务办公本,",0,1,1,0,0,http://detail.zol.com.cn/1167/1166689/param.shtml,https://2d.zol-img.com.cn/product/181_280x210/325/ceRwIv0jjLFq6.jpg
170,170,联想Ideapad 500S-14ISK,Intel 酷睿i5 6200U,i5,4,8GB+500G,NVIDIA GeForce 940M,0,2,0,混合硬盘（SSD+5400转HDD）>,1.65Kg,2-5小时，视具体使用环境而定长续航笔记本>,medium,0,short,True,巧克力键盘>,0,"影音娱乐本,轻薄笔记本,",1,1,0,0,0,http://detail.zol.com.cn/1100/1099841/param.shtml,https://2b.zol-img.com.cn/product/168_280x210/437/ceqfNUzIA1oXo.jpg
171,171,苹果Macbook Pro 13英寸2019,Intel 酷睿i5 8279U,i5,8,256GB,Intel Iris Plus Graphics 655,0,0,12199,SSD固态硬盘>,1.37Kg,"10小时的无线网络浏览
10小时的iTunes影片播放
30天的待机时间长续航笔记本>",medium,0,long,True,全尺寸背光键盘,1,"轻薄笔记本,商务办公本,",0,1,1,0,1,http://detail.zol.com.cn/1277/1276449/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/0D/ChMlWV1BaiaIOr0HAAFOrNAgo6wAAMQowP3s3AAAU7E561.jpg
172,172,戴尔Inspiron 灵越 燃7000 II（7572）,Intel 酷睿i5 8250U,i5,4,128GB+500G,Intel GMA UHD 620,0,0,5499,混合硬盘（SSD+HDD）>,1.91Kg,10小时左右，视具体使用环境而定长续航笔记本>,heavy,15.6,long,True,NO SPECIAL,0,"轻薄笔记本,影音娱乐本,",1,1,0,0,0,http://detail.zol.com.cn/1185/1184184/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/zplus16.png
173,173,惠普星14 青春版,Intel 酷睿i5 8265U,i5,8,512GB,AMD Radeon 530,0,2,0,SSD固态硬盘>,1.52Kg,10小时左右，视具体使用环境而定长续航笔记本>,medium,0,long,True,全尺寸键盘>,0,"轻薄笔记本,影音娱乐本,",1,1,0,0,0,http://detail.zol.com.cn/1265/1264746/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/02/0C/ChMlWVyclUaIfdLrAAFg4_0pbloAAJFBgLOy10AAWD7340.jpg
174,174,联想小新 锐7000,Intel 酷睿i5 7300HQ,i5,4,1T,NVIDIA GeForce GTX 1050,0,2,0,5400转>,2.3Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,全尺寸键盘>,0,"游戏本,IPS硬屏笔记本,",0,0,0,1,0,http://detail.zol.com.cn/1171/1170990/param.shtml,https://2a.zol-img.com.cn/product/182_280x210/924/ceNqFeQb9fJoc.jpg
175,175,ROG 冰锐2 R9 4900HS/16GB/1TB/RTX2060Max-Q,AMD Ryzen9 4900HS,0,16,1T,NVIDIA GeForce RTX 2060 Max-Q,RTX2060,6,9969,SSD固态硬盘>,2.1Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,False,背光巧克力键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1329/1328011/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g3/M06/0F/06/ChMlWF7pdsiIfMLzAAEsgEGu7S8AAU23QPpRT8AASyY573.jpg
176,176,ThinkPad P14s,Intel 酷睿i7 10510U,i7,8,512GB,NVIDIA Quadro P520,0,2,8989,SSD固态硬盘>,1.5Kg,视具体使用环境而定长续航笔记本>,medium,0,0,True,背光键盘,1,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1325/1324738/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/09/0C/ChMlWl7LNeKIAU3BAAFMxijHE0sAAPcOgP-GkEAAUze334.jpg
177,177,联想扬天M51-80,Intel 酷睿i7 6500U,i7,4,500GB,NVIDIA Geforce 940M,0,2,0,5400转>,0,2-5小时，视具体使用环境而定长续航笔记本>,0,15.6,short,True,全尺寸键盘>,0,"商务办公本,轻薄笔记本,",0,1,1,0,0,http://detail.zol.com.cn/1117/1116386/param.shtml,https://2e.zol-img.com.cn/product/172_280x210/698/ce1xjsEpUERSc.jpg
178,178,ThinkPad E15 锐龙版,AMD Ryzen 7 4700U,0,16,512GB,No description,0,0,4999,SSD固态硬盘>,1.7Kg,视具体使用环境而定长续航笔记本>,medium,15.6,0,True,全尺寸键盘（包含独立数字键盘），防渗漏键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1326/1325839/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/0A/ChMlWV7UvbeIGs8IAADscA1p9jIAAPrwwHEUSQAAOyI820.jpg
179,179,ThinkPad E15 锐龙版,AMD Ryzen 7 4700U,0,16,512GB,No description,0,0,4999,SSD固态硬盘>,1.7Kg,视具体使用环境而定长续航笔记本>,medium,15.6,0,True,全尺寸键盘（包含独立数字键盘），防渗漏键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1326/1325839/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/0A/ChMlWV7UvbeIGs8IAADscA1p9jIAAPrwwHEUSQAAOyI820.jpg
180,180,ThinkPad E15 锐龙版,AMD Ryzen 7 4700U,0,16,512GB,No description,0,0,4999,SSD固态硬盘>,1.7Kg,视具体使用环境而定长续航笔记本>,medium,15.6,0,True,全尺寸键盘（包含独立数字键盘），防渗漏键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1326/1325839/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/0A/ChMlWV7UvbeIGs8IAADscA1p9jIAAPrwwHEUSQAAOyI820.jpg
181,181,ThinkPad E15 锐龙版,AMD Ryzen 7 4700U,0,16,512GB,No description,0,0,4999,SSD固态硬盘>,1.7Kg,视具体使用环境而定长续航笔记本>,medium,15.6,0,True,全尺寸键盘（包含独立数字键盘），防渗漏键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1326/1325839/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/0A/ChMlWV7UvbeIGs8IAADscA1p9jIAAPrwwHEUSQAAOyI820.jpg
182,182,机械师F117-X,Intel 酷睿i7 10875H,i7,16,1T,NVIDIA GeForce RTX 2070,RTX2070,8,9999,PCI-E 固态硬盘,2.3Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,背光键盘（RGB四区背光），全尺寸键盘>,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1335/1334085/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/06/0E/ChMkKV8nejCIHeddAAEX3mUDkoQAAAbiwHDElkAARf2423.jpg
183,183,联想小新 I2000,Intel 酷睿i7 5500U,i7,4,8GB+500G,Intel GMA HD 5500,0,0,0,混合硬盘（SSD+5400转HDD）>,1.68Kg,视具体使用环境而定长续航笔记本>,medium,0,0,True,巧克力键盘>,0,"影音娱乐本,",1,0,0,0,0,http://detail.zol.com.cn/403/402264/param.shtml,https://2f.zol-img.com.cn/product/154_280x210/553/cec7otk00Coa.jpg
184,184,微软Surface Book 3（13.5英寸）,0,0,0,No description,No description,0,0,0,0,1.642Kg,视具体使用环境而定,medium,0,0,True,全尺寸背光键盘,1,0,0,0,0,0,0,http://detail.zol.com.cn/1322/1321916/param.shtml,//icon.zol-img.com.cn/param20140526/16/36.jpg
185,185,戴尔Inspiron 灵越 15 7000 微边框（7560）,Intel 酷睿i7 7500U,i7,8,128GB+1T,NVIDIA GeForce 940MX,0,4,4599,混合硬盘（SSD+5400转HDD）>,2Kg,10小时左右，视具体使用环境而定长续航笔记本>,0,15.6,long,True,内置US国际Qwerty 键盘,0,"游戏本,影音娱乐本,",1,0,0,1,0,http://detail.zol.com.cn/1155/1154637/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
186,186,惠普暗影精灵 IV代,Intel 酷睿i5 8300H,i5,8,128GB+1T,NVIDIA GeForce GTX 1050 Ti,0,4,6999,混合硬盘（SSD+7200转HDD）>,2.33Kg,视具体使用环境而定长续航笔记本>,heavy,15.6,0,True,全尺寸2区照明背光键盘,1,"游戏本,",0,0,0,1,0,http://detail.zol.com.cn/1216/1215789/param.shtml,https://icon.zol-img.com.cn/products/v4/b2c-icon/jd18.png
187,187,HUAWEI MateBook B3-510,Intel 酷睿i5 10210U,i5,8,256GB,Intel UHD Graphics 620,0,0,0,SSD固态硬盘>,1.38Kg,视具体使用环境而定长续航笔记本>,medium,15.6,0,True,全尺寸键盘>,0,"商务办公本,",0,0,1,0,0,http://detail.zol.com.cn/1333/1332892/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/00/08/ChMkKV8ZJQuIbctVAADQk-u0sJAAAACHwH6vqkAANCr402.jpg
